kor;férfi;nõi
0;100000;100000
1;99204;99344
2;99146;99303
3;99108;99269
4;99079;99244
5;99066;99233
6;99051;99218
7;99034;99201
8;99016;99184
9;98998;99167
10;98980;99151
11;98964;99134
12;98947;99118
13;98928;99101
14;98904;99085
15;98872;99070
16;98836;99050
17;98794;99029
18;98746;99007
19;98691;98982
20;98631;98956
21;98564;98929
22;98491;98901
23;98411;98874
24;98325;98847
25;98233;98819
26;98136;98790
27;98035;98757
28;97931;98721
29;97825;98679
30;97715;98632
31;97595;98580
32;97463;98524
33;97316;98464
34;97151;98400
35;96965;98330
36;96752;98249
37;96510;98154
38;96235;98040
39;95924;97905
40;95569;97748
41;95159;97565
42;94680;97356
43;94121;97117
44;93477;96848
45;92749;96546
46;91941;96214
47;91063;95850
48;90119;95455
49;89111;95030
50;88039;94573
51;86901;94084
52;85698;93564
53;84434;93013
54;83106;92432
55;81712;91818
56;80244;91168
57;78693;90482
58;77055;89760
59;75329;88998
60;73518;88192
61;71629;87333
62;69676;86414
63;67671;85434
64;65615;84385
65;63502;83256
66;61317;82033
67;59047;80707
68;56691;79273
69;54250;77721
70;51730;76036
71;49139;74202
72;46493;72212
73;43807;70066
74;41093;67756
75;38359;65266
76;35613;62579
77;32727;59588
78;29941;56465
79;27250;53205
80;24647;49804
81;22131;46263
82;19701;42590
83;17360;38800
84;15115;34918
85;12975;30979
86;10953;27031
87;9065;23132
88;7330;19352
89;5766;15767
90;4391;12456
91;3218;9491
92;2254;6935
93;1496;4824
94;933;3169
95;540;1947
96;286;1107
97;137;574
98;58;268
99;21;110
100;7;39
